State,Year,Cause of death,Deaths,Population,Total Deaths
AK,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),23,"732,673",
AK,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",11,"732,673",
AK,2021,,,"732,673",377
AZ,2021,J12.8 (Other viral pneumonia),46,"7,276,316",
AZ,2021,"J12.9 (Viral pneumonia, unspecified)",26,"7,276,316",
AZ,2021,J15.1 (Pneumonia due to Pseudomonas),15,"7,276,316",
AZ,2021,J15.2 (Pneumonia due to staphylococcus),23,"7,276,316",
AZ,2021,J15.4 (Pneumonia due to other streptococci),13,"7,276,316",
AZ,2021,"J15.9 (Bacterial pneumonia, unspecified)",137,"7,276,316",
AZ,2021,"J18.0 (Bronchopneumonia, unspecified)",11,"7,276,316",
AZ,2021,"J18.1 (Lobar pneumonia, unspecified)",26,"7,276,316",
AZ,2021,"J18.9 (Pneumonia, unspecified)",595,"7,276,316",
AZ,2021,"J43.9 (Emphysema, unspecified)",179,"7,276,316",
AZ,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),329,"7,276,316",
AZ,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",156,"7,276,316",
AZ,2021,J44.8 (Other specified chronic obstructive pulmonary disease),22,"7,276,316",
AZ,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","2,708","7,276,316",
AZ,2021,"J45.9 (Asthma, unspecified)",79,"7,276,316",
AZ,2021,J47 (Bronchiectasis),22,"7,276,316",
AZ,2021,J69.0 (Pneumonitis due to food and vomit),217,"7,276,316",
AZ,2021,J80 (Adult respiratory distress syndrome),21,"7,276,316",
AZ,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),415,"7,276,316",
AZ,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",116,"7,276,316",
AZ,2021,J86.9 (Pyothorax without fistula),10,"7,276,316",
AZ,2021,"J90 (Pleural effusion, not elsewhere classified)",29,"7,276,316",
AZ,2021,"J93.9 (Pneumothorax, unspecified)",12,"7,276,316",
AZ,2021,J96.0 (Acute respiratory failure),79,"7,276,316",
AZ,2021,J96.1 (Chronic respiratory failure),73,"7,276,316",
AZ,2021,"J96.9 (Respiratory failure, unspecified)",138,"7,276,316",
AZ,2021,J98.4 (Other disorders of lung),48,"7,276,316",
AZ,2021,J98.8 (Other specified respiratory disorders),20,"7,276,316",
AZ,2021,"J98.9 (Respiratory disorder, unspecified)",25,"7,276,316",
AZ,2021,,,"7,276,316",5744
AR,2021,"J15.9 (Bacterial pneumonia, unspecified)",38,"3,025,891",
AR,2021,"J18.9 (Pneumonia, unspecified)",462,"3,025,891",
AR,2021,"J43.9 (Emphysema, unspecified)",131,"3,025,891",
AR,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),181,"3,025,891",
AR,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",68,"3,025,891",
AR,2021,J44.8 (Other specified chronic obstructive pulmonary disease),20,"3,025,891",
AR,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","1,918","3,025,891",
AR,2021,"J45.9 (Asthma, unspecified)",34,"3,025,891",
AR,2021,J69.0 (Pneumonitis due to food and vomit),171,"3,025,891",
AR,2021,J80 (Adult respiratory distress syndrome),13,"3,025,891",
AR,2021,J81 (Pulmonary oedema),21,"3,025,891",
AR,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),126,"3,025,891",
AR,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",55,"3,025,891",
AR,2021,"J90 (Pleural effusion, not elsewhere classified)",13,"3,025,891",
AR,2021,J96.0 (Acute respiratory failure),34,"3,025,891",
AR,2021,J96.1 (Chronic respiratory failure),69,"3,025,891",
AR,2021,"J96.9 (Respiratory failure, unspecified)",33,"3,025,891",
AR,2021,J98.4 (Other disorders of lung),29,"3,025,891",
AR,2021,,,"3,025,891",3532
CA,2021,"J10.0 (Influenza with pneumonia, influenza virus identified)",10,"39,237,836",
CA,2021,J12.1 (Respiratory syncytial virus pneumonia),12,"39,237,836",
CA,2021,"J12.9 (Viral pneumonia, unspecified)",42,"39,237,836",
CA,2021,J15.0 (Pneumonia due to Klebsiella pneumoniae),32,"39,237,836",
CA,2021,J15.1 (Pneumonia due to Pseudomonas),39,"39,237,836",
CA,2021,J15.2 (Pneumonia due to staphylococcus),65,"39,237,836",
CA,2021,J15.4 (Pneumonia due to other streptococci),17,"39,237,836",
CA,2021,"J15.9 (Bacterial pneumonia, unspecified)",469,"39,237,836",
CA,2021,"J18.0 (Bronchopneumonia, unspecified)",53,"39,237,836",
CA,2021,"J18.1 (Lobar pneumonia, unspecified)",90,"39,237,836",
CA,2021,"J18.9 (Pneumonia, unspecified)","3,736","39,237,836",
CA,2021,"J40 (Bronchitis, not specified as acute or chronic)",10,"39,237,836",
CA,2021,J42 (Unspecified chronic bronchitis),29,"39,237,836",
CA,2021,J43.2 (Centrilobular emphysema),25,"39,237,836",
CA,2021,"J43.9 (Emphysema, unspecified)",495,"39,237,836",
CA,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),"1,331","39,237,836",
CA,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",474,"39,237,836",
CA,2021,J44.8 (Other specified chronic obstructive pulmonary disease),155,"39,237,836",
CA,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","8,579","39,237,836",
CA,2021,"J45.9 (Asthma, unspecified)",327,"39,237,836",
CA,2021,J46 (Status asthmaticus),20,"39,237,836",
CA,2021,J47 (Bronchiectasis),104,"39,237,836",
CA,2021,J61 (Pneumoconiosis due to asbestos and other mineral fibres),13,"39,237,836",
CA,2021,J67.9 (Hypersensitivity pneumonitis due to unspecified organic dust),40,"39,237,836",
CA,2021,J69.0 (Pneumonitis due to food and vomit),"1,618","39,237,836",
CA,2021,J80 (Adult respiratory distress syndrome),46,"39,237,836",
CA,2021,J81 (Pulmonary oedema),20,"39,237,836",
CA,2021,"J82 (Pulmonary eosinophilia, not elsewhere classified)",11,"39,237,836",
CA,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),"1,204","39,237,836",
CA,2021,"J84.9 (Interstitial pulmonary disease, unspecified)","1,022","39,237,836",
CA,2021,J85.0 (Gangrene and necrosis of lung),20,"39,237,836",
CA,2021,J85.2 (Abscess of lung without pneumonia),10,"39,237,836",
CA,2021,J86.0 (Pyothorax with fistula),14,"39,237,836",
CA,2021,J86.9 (Pyothorax without fistula),36,"39,237,836",
CA,2021,"J90 (Pleural effusion, not elsewhere classified)",62,"39,237,836",
CA,2021,"J93.9 (Pneumothorax, unspecified)",26,"39,237,836",
CA,2021,J96.0 (Acute respiratory failure),29,"39,237,836",
CA,2021,J96.1 (Chronic respiratory failure),144,"39,237,836",
CA,2021,"J96.9 (Respiratory failure, unspecified)",35,"39,237,836",
CA,2021,J98.1 (Pulmonary collapse),16,"39,237,836",
CA,2021,J98.2 (Interstitial emphysema),14,"39,237,836",
CA,2021,J98.4 (Other disorders of lung),99,"39,237,836",
CA,2021,"J98.5 (Diseases of mediastinum, not elsewhere classified)",14,"39,237,836",
CA,2021,J98.8 (Other specified respiratory disorders),26,"39,237,836",
CA,2021,"J98.9 (Respiratory disorder, unspecified)",10,"39,237,836",
CA,2021,,,"39,237,836",20856
CO,2021,"J15.9 (Bacterial pneumonia, unspecified)",19,"5,812,069",
CO,2021,"J18.0 (Bronchopneumonia, unspecified)",10,"5,812,069",
CO,2021,"J18.9 (Pneumonia, unspecified)",208,"5,812,069",
CO,2021,J43.2 (Centrilobular emphysema),14,"5,812,069",
CO,2021,"J43.9 (Emphysema, unspecified)",120,"5,812,069",
CO,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),173,"5,812,069",
CO,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",102,"5,812,069",
CO,2021,J44.8 (Other specified chronic obstructive pulmonary disease),35,"5,812,069",
CO,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","1,794","5,812,069",
CO,2021,"J45.9 (Asthma, unspecified)",42,"5,812,069",
CO,2021,J47 (Bronchiectasis),10,"5,812,069",
CO,2021,J69.0 (Pneumonitis due to food and vomit),294,"5,812,069",
CO,2021,J80 (Adult respiratory distress syndrome),19,"5,812,069",
CO,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),187,"5,812,069",
CO,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",211,"5,812,069",
CO,2021,J86.9 (Pyothorax without fistula),13,"5,812,069",
CO,2021,"J90 (Pleural effusion, not elsewhere classified)",10,"5,812,069",
CO,2021,J96.0 (Acute respiratory failure),16,"5,812,069",
CO,2021,J96.1 (Chronic respiratory failure),117,"5,812,069",
CO,2021,"J96.9 (Respiratory failure, unspecified)",15,"5,812,069",
CO,2021,J98.4 (Other disorders of lung),33,"5,812,069",
CO,2021,"J98.9 (Respiratory disorder, unspecified)",15,"5,812,069",
CO,2021,,,"5,812,069",3613
CT,2021,J15.2 (Pneumonia due to staphylococcus),11,"3,605,597",
CT,2021,"J15.9 (Bacterial pneumonia, unspecified)",32,"3,605,597",
CT,2021,"J18.1 (Lobar pneumonia, unspecified)",10,"3,605,597",
CT,2021,"J18.9 (Pneumonia, unspecified)",323,"3,605,597",
CT,2021,"J43.9 (Emphysema, unspecified)",54,"3,605,597",
CT,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),104,"3,605,597",
CT,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",49,"3,605,597",
CT,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)",898,"3,605,597",
CT,2021,"J45.9 (Asthma, unspecified)",31,"3,605,597",
CT,2021,J47 (Bronchiectasis),12,"3,605,597",
CT,2021,J69.0 (Pneumonitis due to food and vomit),288,"3,605,597",
CT,2021,J80 (Adult respiratory distress syndrome),18,"3,605,597",
CT,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),126,"3,605,597",
CT,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",104,"3,605,597",
CT,2021,"J90 (Pleural effusion, not elsewhere classified)",29,"3,605,597",
CT,2021,J96.0 (Acute respiratory failure),67,"3,605,597",
CT,2021,J96.1 (Chronic respiratory failure),55,"3,605,597",
CT,2021,"J96.9 (Respiratory failure, unspecified)",116,"3,605,597",
CT,2021,J98.4 (Other disorders of lung),28,"3,605,597",
CT,2021,,,"3,605,597",2481
DE,2021,"J18.9 (Pneumonia, unspecified)",104,"1,003,384",
DE,2021,"J43.9 (Emphysema, unspecified)",12,"1,003,384",
DE,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),61,"1,003,384",
DE,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",23,"1,003,384",
DE,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)",385,"1,003,384",
DE,2021,"J45.9 (Asthma, unspecified)",15,"1,003,384",
DE,2021,J69.0 (Pneumonitis due to food and vomit),80,"1,003,384",
DE,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),42,"1,003,384",
DE,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",41,"1,003,384",
DE,2021,"J90 (Pleural effusion, not elsewhere classified)",11,"1,003,384",
DE,2021,J98.4 (Other disorders of lung),10,"1,003,384",
DE,2021,,,"1,003,384",847
DC,2021,"J18.9 (Pneumonia, unspecified)",49,"670,050",
DC,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)",81,"670,050",
DC,2021,"J45.9 (Asthma, unspecified)",13,"670,050",
DC,2021,J69.0 (Pneumonitis due to food and vomit),44,"670,050",
DC,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",10,"670,050",
DC,2021,,,"670,050",263
FL,2021,"J10.0 (Influenza with pneumonia, influenza virus identified)",15,"21,781,128",
FL,2021,"J10.1 (Influenza with other respiratory manifestations, influenza virus identified)",17,"21,781,128",
FL,2021,"J11.0 (Influenza with pneumonia, virus not identified)",13,"21,781,128",
FL,2021,J12.8 (Other viral pneumonia),53,"21,781,128",
FL,2021,"J12.9 (Viral pneumonia, unspecified)",28,"21,781,128",
FL,2021,J15.0 (Pneumonia due to Klebsiella pneumoniae),16,"21,781,128",
FL,2021,J15.1 (Pneumonia due to Pseudomonas),44,"21,781,128",
FL,2021,J15.2 (Pneumonia due to staphylococcus),39,"21,781,128",
FL,2021,J15.5 (Pneumonia due to Escherichia coli),11,"21,781,128",
FL,2021,"J15.9 (Bacterial pneumonia, unspecified)",147,"21,781,128",
FL,2021,"J18.0 (Bronchopneumonia, unspecified)",27,"21,781,128",
FL,2021,"J18.1 (Lobar pneumonia, unspecified)",49,"21,781,128",
FL,2021,"J18.9 (Pneumonia, unspecified)","2,334","21,781,128",
FL,2021,J39.8 (Other specified diseases of upper respiratory tract),14,"21,781,128",
FL,2021,J42 (Unspecified chronic bronchitis),15,"21,781,128",
FL,2021,J43.2 (Centrilobular emphysema),20,"21,781,128",
FL,2021,"J43.9 (Emphysema, unspecified)",427,"21,781,128",
FL,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),"1,343","21,781,128",
FL,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",410,"21,781,128",
FL,2021,J44.8 (Other specified chronic obstructive pulmonary disease),64,"21,781,128",
FL,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","8,367","21,781,128",
FL,2021,"J45.9 (Asthma, unspecified)",174,"21,781,128",
FL,2021,J46 (Status asthmaticus),22,"21,781,128",
FL,2021,J47 (Bronchiectasis),72,"21,781,128",
FL,2021,J61 (Pneumoconiosis due to asbestos and other mineral fibres),20,"21,781,128",
FL,2021,J67.9 (Hypersensitivity pneumonitis due to unspecified organic dust),12,"21,781,128",
FL,2021,J69.0 (Pneumonitis due to food and vomit),"1,298","21,781,128",
FL,2021,J80 (Adult respiratory distress syndrome),82,"21,781,128",
FL,2021,J81 (Pulmonary oedema),38,"21,781,128",
FL,2021,"J82 (Pulmonary eosinophilia, not elsewhere classified)",13,"21,781,128",
FL,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),"1,320","21,781,128",
FL,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",322,"21,781,128",
FL,2021,J85.0 (Gangrene and necrosis of lung),19,"21,781,128",
FL,2021,J86.0 (Pyothorax with fistula),14,"21,781,128",
FL,2021,J86.9 (Pyothorax without fistula),31,"21,781,128",
FL,2021,"J90 (Pleural effusion, not elsewhere classified)",107,"21,781,128",
FL,2021,"J93.9 (Pneumothorax, unspecified)",47,"21,781,128",
FL,2021,J94.8 (Other specified pleural conditions),14,"21,781,128",
FL,2021,J96.0 (Acute respiratory failure),176,"21,781,128",
FL,2021,J96.1 (Chronic respiratory failure),208,"21,781,128",
FL,2021,"J96.9 (Respiratory failure, unspecified)",172,"21,781,128",
FL,2021,J98.2 (Interstitial emphysema),15,"21,781,128",
FL,2021,J98.4 (Other disorders of lung),109,"21,781,128",
FL,2021,J98.8 (Other specified respiratory disorders),22,"21,781,128",
FL,2021,"J98.9 (Respiratory disorder, unspecified)",12,"21,781,128",
FL,2021,,,"21,781,128",17968
GA,2021,J12.8 (Other viral pneumonia),10,"10,799,566",
GA,2021,J15.1 (Pneumonia due to Pseudomonas),26,"10,799,566",
GA,2021,J15.2 (Pneumonia due to staphylococcus),27,"10,799,566",
GA,2021,"J15.9 (Bacterial pneumonia, unspecified)",38,"10,799,566",
GA,2021,"J18.0 (Bronchopneumonia, unspecified)",17,"10,799,566",
GA,2021,"J18.1 (Lobar pneumonia, unspecified)",19,"10,799,566",
GA,2021,"J18.9 (Pneumonia, unspecified)","1,073","10,799,566",
GA,2021,J43.2 (Centrilobular emphysema),24,"10,799,566",
GA,2021,"J43.9 (Emphysema, unspecified)",230,"10,799,566",
GA,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),331,"10,799,566",
GA,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",202,"10,799,566",
GA,2021,J44.8 (Other specified chronic obstructive pulmonary disease),57,"10,799,566",
GA,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","3,730","10,799,566",
GA,2021,"J45.9 (Asthma, unspecified)",93,"10,799,566",
GA,2021,J47 (Bronchiectasis),14,"10,799,566",
GA,2021,J69.0 (Pneumonitis due to food and vomit),568,"10,799,566",
GA,2021,J80 (Adult respiratory distress syndrome),37,"10,799,566",
GA,2021,J81 (Pulmonary oedema),24,"10,799,566",
GA,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),411,"10,799,566",
GA,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",163,"10,799,566",
GA,2021,J86.9 (Pyothorax without fistula),18,"10,799,566",
GA,2021,"J90 (Pleural effusion, not elsewhere classified)",51,"10,799,566",
GA,2021,"J93.9 (Pneumothorax, unspecified)",29,"10,799,566",
GA,2021,J96.0 (Acute respiratory failure),457,"10,799,566",
GA,2021,J96.1 (Chronic respiratory failure),231,"10,799,566",
GA,2021,"J96.9 (Respiratory failure, unspecified)",411,"10,799,566",
GA,2021,J98.4 (Other disorders of lung),113,"10,799,566",
GA,2021,"J98.5 (Diseases of mediastinum, not elsewhere classified)",10,"10,799,566",
GA,2021,J98.8 (Other specified respiratory disorders),23,"10,799,566",
GA,2021,"J98.9 (Respiratory disorder, unspecified)",148,"10,799,566",
GA,2021,,,"10,799,566",8762
HI,2021,"J18.9 (Pneumonia, unspecified)",191,"1,441,553",
HI,2021,"J43.9 (Emphysema, unspecified)",29,"1,441,553",
HI,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),37,"1,441,553",
HI,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",14,"1,441,553",
HI,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)",257,"1,441,553",
HI,2021,"J45.9 (Asthma, unspecified)",20,"1,441,553",
HI,2021,J47 (Bronchiectasis),14,"1,441,553",
HI,2021,J69.0 (Pneumonitis due to food and vomit),105,"1,441,553",
HI,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),71,"1,441,553",
HI,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",19,"1,441,553",
HI,2021,J96.0 (Acute respiratory failure),18,"1,441,553",
HI,2021,"J96.9 (Respiratory failure, unspecified)",26,"1,441,553",
HI,2021,,,"1,441,553",874
ID,2021,"J15.9 (Bacterial pneumonia, unspecified)",14,"1,900,923",
ID,2021,"J18.9 (Pneumonia, unspecified)",117,"1,900,923",
ID,2021,"J43.9 (Emphysema, unspecified)",44,"1,900,923",
ID,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),79,"1,900,923",
ID,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",36,"1,900,923",
ID,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)",724,"1,900,923",
ID,2021,"J45.9 (Asthma, unspecified)",15,"1,900,923",
ID,2021,J61 (Pneumoconiosis due to asbestos and other mineral fibres),12,"1,900,923",
ID,2021,J69.0 (Pneumonitis due to food and vomit),108,"1,900,923",
ID,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),100,"1,900,923",
ID,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",48,"1,900,923",
ID,2021,J96.1 (Chronic respiratory failure),25,"1,900,923",
ID,2021,,,"1,900,923",1449
IL,2021,"J12.9 (Viral pneumonia, unspecified)",18,"12,671,469",
IL,2021,J15.2 (Pneumonia due to staphylococcus),12,"12,671,469",
IL,2021,"J15.9 (Bacterial pneumonia, unspecified)",62,"12,671,469",
IL,2021,"J18.0 (Bronchopneumonia, unspecified)",30,"12,671,469",
IL,2021,"J18.1 (Lobar pneumonia, unspecified)",20,"12,671,469",
IL,2021,"J18.9 (Pneumonia, unspecified)","1,486","12,671,469",
IL,2021,J42 (Unspecified chronic bronchitis),10,"12,671,469",
IL,2021,J43.1 (Panlobular emphysema),18,"12,671,469",
IL,2021,J43.2 (Centrilobular emphysema),15,"12,671,469",
IL,2021,"J43.9 (Emphysema, unspecified)",277,"12,671,469",
IL,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),462,"12,671,469",
IL,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",177,"12,671,469",
IL,2021,J44.8 (Other specified chronic obstructive pulmonary disease),46,"12,671,469",
IL,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","3,766","12,671,469",
IL,2021,"J45.9 (Asthma, unspecified)",110,"12,671,469",
IL,2021,J47 (Bronchiectasis),31,"12,671,469",
IL,2021,J69.0 (Pneumonitis due to food and vomit),974,"12,671,469",
IL,2021,J80 (Adult respiratory distress syndrome),46,"12,671,469",
IL,2021,J81 (Pulmonary oedema),30,"12,671,469",
IL,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),472,"12,671,469",
IL,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",227,"12,671,469",
IL,2021,J85.0 (Gangrene and necrosis of lung),16,"12,671,469",
IL,2021,J86.9 (Pyothorax without fistula),22,"12,671,469",
IL,2021,"J90 (Pleural effusion, not elsewhere classified)",42,"12,671,469",
IL,2021,"J93.9 (Pneumothorax, unspecified)",26,"12,671,469",
IL,2021,J96.0 (Acute respiratory failure),144,"12,671,469",
IL,2021,J96.1 (Chronic respiratory failure),217,"12,671,469",
IL,2021,"J96.9 (Respiratory failure, unspecified)",150,"12,671,469",
IL,2021,J98.1 (Pulmonary collapse),11,"12,671,469",
IL,2021,J98.4 (Other disorders of lung),75,"12,671,469",
IL,2021,"J98.9 (Respiratory disorder, unspecified)",13,"12,671,469",
IL,2021,,,"12,671,469",9178
IN,2021,J12.8 (Other viral pneumonia),10,"6,805,985",
IN,2021,J15.2 (Pneumonia due to staphylococcus),13,"6,805,985",
IN,2021,"J15.9 (Bacterial pneumonia, unspecified)",92,"6,805,985",
IN,2021,"J18.1 (Lobar pneumonia, unspecified)",16,"6,805,985",
IN,2021,"J18.9 (Pneumonia, unspecified)",536,"6,805,985",
IN,2021,J43.1 (Panlobular emphysema),14,"6,805,985",
IN,2021,J43.2 (Centrilobular emphysema),10,"6,805,985",
IN,2021,"J43.9 (Emphysema, unspecified)",190,"6,805,985",
IN,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),409,"6,805,985",
IN,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",220,"6,805,985",
IN,2021,J44.8 (Other specified chronic obstructive pulmonary disease),33,"6,805,985",
IN,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","3,248","6,805,985",
IN,2021,"J45.9 (Asthma, unspecified)",60,"6,805,985",
IN,2021,J47 (Bronchiectasis),25,"6,805,985",
IN,2021,J69.0 (Pneumonitis due to food and vomit),513,"6,805,985",
IN,2021,J80 (Adult respiratory distress syndrome),27,"6,805,985",
IN,2021,J81 (Pulmonary oedema),15,"6,805,985",
IN,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),375,"6,805,985",
IN,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",114,"6,805,985",
IN,2021,J86.9 (Pyothorax without fistula),16,"6,805,985",
IN,2021,"J90 (Pleural effusion, not elsewhere classified)",34,"6,805,985",
IN,2021,J96.0 (Acute respiratory failure),142,"6,805,985",
IN,2021,J96.1 (Chronic respiratory failure),189,"6,805,985",
IN,2021,"J96.9 (Respiratory failure, unspecified)",94,"6,805,985",
IN,2021,J98.1 (Pulmonary collapse),11,"6,805,985",
IN,2021,J98.4 (Other disorders of lung),57,"6,805,985",
IN,2021,J98.8 (Other specified respiratory disorders),10,"6,805,985",
IN,2021,,,"6,805,985",6657
IA,2021,"J15.9 (Bacterial pneumonia, unspecified)",15,"3,193,079",
IA,2021,"J18.9 (Pneumonia, unspecified)",309,"3,193,079",
IA,2021,"J43.9 (Emphysema, unspecified)",79,"3,193,079",
IA,2021,J44.0 (Chronic obstructive pulmonary disease with acute lower respiratory infection),194,"3,193,079",
IA,2021,"J44.1 (Chronic obstructive pulmonary disease with acute exacerbation, unspecified)",75,"3,193,079",
IA,2021,J44.8 (Other specified chronic obstructive pulmonary disease),17,"3,193,079",
IA,2021,"J44.9 (Chronic obstructive pulmonary disease, unspecified)","1,242","3,193,079",
IA,2021,"J45.9 (Asthma, unspecified)",35,"3,193,079",
IA,2021,J47 (Bronchiectasis),10,"3,193,079",
IA,2021,J69.0 (Pneumonitis due to food and vomit),193,"3,193,079",
IA,2021,J84.1 (Other interstitial pulmonary diseases with fibrosis),128,"3,193,079",
IA,2021,"J84.9 (Interstitial pulmonary disease, unspecified)",78,"3,193,079",
IA,2021,"J90 (Pleural effusion, not elsewhere classified)",12,"3,193,079",
IA,2021,J96.0 (Acute respiratory failure),32,"3,193,079",
IA,2021,J96.1 (Chronic respiratory failure),52,"3,193,079",
IA,2021,"J96.9 (Respiratory failure, unspecified)",31,"3,193,079",
